image,name,department,ifo,advantage
"https://muzhi-public-pic.cdn.bcebos.com/100111541502?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",秦伟,肾脏内科四川大学华西医院,擅长：IgA肾病、肾病综合征、血管炎肾损害、狼疮性肾炎、过敏性紫癜肾炎、慢性肾衰竭、尿毒症、法布雷病,优势：全国肾脏病声誉排行No.9、副教授
"https://medical-cms.cdn.bcebos.com/pic/pic_1597114355238riBY74TA.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",陶冶,肾脏内科四川大学华西医院,擅长：急﹑慢性肾功能不全﹑原发和继发肾小球疾病、肾小管间质疾病的处理、尤其精通狼疮性肾炎、移植肾肾病的诊治,优势：全国肾脏病声誉排行No.9、四川大学华西医院肾脏内科主任
"https://doctorbase.cdn.bcebos.com/zc_img/5YWl5bqT5pWw5o2u56ysMeaJuTIwMjMwMTA0X+WMu+eUn+W6k+mqjOecn+aVsOaNrjEyMTMt6LW15Li577yIMu+8iQ==/380ff787b77398a0087adeb2e4f0d6ed.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",付平,肾脏内科四川大学华西医院,擅长：在糖尿病肾病、高血压肾病和痛风肾病、肾小管间质纤维化诊断和治疗方面有丰富的临床经验、在中药与糖尿病肾病、中药与肾脏纤维化、连续性血液净化与危重疾病救治和循证肾脏病学等方面有较高的学术造诣,优势：全国肾脏病声誉排行No.9、四川大学华西医院优秀科室主任、中华医学会肾脏病学分会委员、教学和科研工作18年、《泌尿系统疾病基础与临床》课程指导教授
"https://doctorbase.cdn.bcebos.com/std_return_img_test/5L+h5oGv5Zue5o2eMjAyMzAyMjRf5Zue5o2e5Yy755Sf5L+h5oGv5pWw5o2u77yI5LyX5rWL77yJ56ysMeaJue+8iOaUueagvOW8j+i0qOajgO+8iQ==/30fd42a8485c93519db4c71dd5ae8f9d.jpg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",余廷龙,肾脏内科四川大学华西医院,擅长：肾病综合征、狼疮性肾炎、尿路感染及尿毒症等的诊治,优势：全国肾脏病声誉排行No.9、肾内科主任、教授
"https://doctorbase.cdn.bcebos.com/std_return_img_test/5L+h5oGv5Zue5o2eMjAyMzAyMjRf5Zue5o2e5Yy755Sf5L+h5oGv5pWw5o2u77yI5LyX5rWL77yJ56ysMeaJue+8iOaUueagvOW8j+i0qOajgO+8iQ==/48ccce8b331afeb2f0572fe629610956.jpg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",张凌,肾脏内科四川大学华西医院,擅长：急性肾损伤、连续性血液净化、血液透析患者水分的管理、慢性肾脏病的饮食指导,优势：全国肾脏病声誉排行No.9、2004年在四川大学华西医院工作
"https://muzhi-public-pic.cdn.bcebos.com/100114294202?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",樊均明,肾脏内科四川大学华西医院,擅长：阳痿、早泄、男性性功能障碍、射精障碍、男性生殖系统感染、前列腺炎、逆行射精、异常勃起、射精延迟、龟头炎、睾丸炎、附睾炎、精囊炎、隐睾、多睾症、隐匿阴茎、小阴茎畸形或阴茎发育不全、阴囊对裂、弱精、少精、死精症、精索静脉曲张、睾丸囊肿、睾丸结核、睾丸结石、包茎、包皮过长、假性包皮过长、樊均明教授在男科及泌尿外科领域具有深厚的学术造诣和丰富的临床经验、他擅长广泛领域的男科及泌尿外科疾病的诊断和治疗、性功能障碍、生殖系统疾病、射精障碍处、樊均明教授在男科及泌尿外科领域具有深厚的学术造诣和丰富的临床经验、他擅长广泛领域的男科及泌尿外科疾病的诊断和治疗、性功能障碍、生殖系统疾病、射精障碍处,优势：全国肾脏病声誉排行No.9、现任成都医学院院长、2002年破格晋升教授
"https://doctorbase.cdn.bcebos.com/zc_img/5YWl5bqT5pWw5o2u56ysMeaJuTIwMjMwMTA0X+WMu+eUn+W6k+mqjOecn+aVsOaNrjEyMTMt6LW15Li577yIMu+8iQ==/16e38590faee488831f3799fbe4a0b01.jpeg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",刘芳,肾脏内科四川大学华西医院,擅长：原发和继发肾小球肾病、肾小管间质疾病、狼疮肾炎、移植后肾病、血液透析及腹膜透析技术,优势：全国肾脏病声誉排行No.9、肾内科副主任、教授
"https://doctorbase.cdn.bcebos.com/zc_img/5YWl5bqT5pWw5o2u56ysMeaJuTIwMjMwMTA0X+WMu+eUn+W6k+mqjOecn+aVsOaNrjEyMTMt6LW15Li577yIMe+8iQ==/9864b8d07bb98816b618848e0bdc784c.jpeg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",石运莹,肾脏内科四川大学华西医院,擅长：肾移植患者及自身免疫相关肾脏疾病的免疫抑制治疗的细胞免疫机制研究,优势：全国肾脏病声誉排行No.9、 华西医院肾脏内科CKD管理中心负责人、副教授
"https://doctorbase.cdn.bcebos.com/zc_img/5YWl5bqT5pWw5o2u56ysMeaJuTIwMjMwMTA0X+WMu+eUn+W6k+mqjOecn+aVsOaNrjEyMTMt6LW15Li577yIMe+8iQ==/a408ce002fde622ea3dcdaa350efb5a7.jpeg?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",黄颂敏,肾脏内科四川大学华西医院,擅长：各种原发及继发肾脏疾病和肾功不全的诊治、以及糖尿病肾病、肾脏的重症疑难病症的诊治,优势：全国肾脏病声誉排行No.9、内科及内科教研室副主任、教授
"https://zhuanjia.su.bcebos.com/zhuanjia/b1577213100361233222.png?x-bce-process=image/auto-orient,o_1/resize,w_1242,limit_1/quality,q_85/format,f_auto",苏白海,肾脏内科四川大学华西医院,擅长：慢性肾炎、肾病综合征、狼疮性肾炎、间质性肾炎、高血压肾病、糖尿病肾病诊断和治疗、熟练血液净化技术、尤其对于血液净化的血管通路建立、血液透析患者并发症的治疗、还对肾脏活检技术及连续性血液净化治疗(CRRT)有深入研究、是对急性肾损伤、慢性肾功不全急性加重、慢性肾衰竭的诊断和治疗有一定经验,优势：全国肾脏病声誉排行No.9、教学和科研工作近十多年、讲师
